A,DEG2,PPS_HH,LT	: 	: 	: 	: 	13301 	14270 	15104 
A,DEG2,PPS_HH,LU	26171 	: 	44194 	56573 	50147 	55037 	45633 
A,DEG2,PPS_HH,LV	: 	: 	: 	15634 u	: u	15434 	16376 
A,DEG2,PPS_HH,MT	: 	: 	: 	28137 	24099 	24133 	22974 e
A,DEG2,PPS_HH,NL	: 	: 	: 	: 	31295 	34793 	34763 
A,DEG2,PPS_HH,NO	: 	: 	: 	29303 	35168 	38151 	: 
A,DEG2,PPS_HH,PL	: 	: 	: 	10511 	15110 	17838 	16666 
A,DEG2,PPS_HH,PT	10988 	14372 	17484 	20748 	23436 	24210 	: 
A,DEG2,PPS_HH,RO	: 	: 	: 	: 	: 	11500 	14468 
A,DEG2,PPS_HH,SE	: 	17762 	22030 	27858 	28171 	29457 	: 
A,DEG2,PPS_HH,SI	: 	: 	: 	23251 	25700 	24694 	25030 
A,DEG2,PPS_HH,SK	: 	: 	: 	11378 	15221 	19190 	14827 
A,DEG2,PPS_HH,UK	15122 	20992 	28099 	34206 	22186 	26064 	: 
A,DEG2,PPS_HH,XK	: 	: 	: 	: 	: 	12220 	: 
A,DEG3,PPS_AE,AT	: 	: 	14283 	17928 	19922 	22391 	22540 
A,DEG3,PPS_AE,BE	11366 	12957 	14969 	17181 	20399 	21340 	20541 
A,DEG3,PPS_AE,BG	: 	: 	: 	3376 	4198 	5443 	6298 
A,DEG3,PPS_AE,CY	: 	: 	: 	14840 	20154 	17711 	17013 e
A,DEG3,PPS_AE,CZ	: 	: 	: 	6130 	7961 	9129 	10236 
A,DEG3,PPS_AE,DE	11018 	12364 	: 	18159 	18752 	20732 	22335 
A,DEG3,PPS_AE,DK	: 	12059 	14581 	15814 	18694 	19528 	19335 
A,DEG3,PPS_AE,EA	: 	: 	: 	16471 u	17047 s	: 	: 
A,DEG3,PPS_AE,EA12	: 	: 	: 	16499 u	17333 s	: 	: 
A,DEG3,PPS_AE,EA13	: 	: 	: 	16471 u	17313 s	: 	: 
A,DEG3,PPS_AE,EA17	: 	: 	: 	: 	17118 s	: 	: 
A,DEG3,PPS_AE,EA18	: 	: 	: 	: 	17047 s	: 	: 
A,DEG3,PPS_AE,EE	: 	: 	: 	6251 	6122 	9499 	10739 
A,DEG3,PPS_AE,EEA28	: 	: 	: 	15210 e	15810 s	: 	: 
A,DEG3,PPS_AE,EEA30_2007	: 	: 	: 	: 	15632 s	: 	: 
A,DEG3,PPS_AE,EFTA	: 	: 	: 	16965 u	20496 u	: 	: 
A,DEG3,PPS_AE,EL	9290 	: 	: 	16574 	15414 	12613 	11236 
A,DEG3,PPS_AE,ES	: 	8450 	8543 	11845 	15801 	16622 	15095 
A,DEG3,PPS_AE,EU15	: 	: 	: 	17131 u	17252 s	: 	: 
A,DEG3,PPS_AE,EU25	: 	: 	: 	15192 e	15762 s	: 	: 
A,DEG3,PPS_AE,EU27_2007	: 	: 	: 	14988 u	15583 s	: 	: 
A,DEG3,PPS_AE,EU27_2020	: 	: 	: 	: 	: 	16164 s	16307 s
A,DEG3,PPS_AE,FI	: 	9499 	10446 	15005 	18484 	20273 	: 
